"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"EaseMyTrade","Index Pages","Commodity Pages - Navigation","0","0","0","4","0"
"EaseMyTrade","Signal Logic","API Signal Validation","0","0","0","1","0"
"EaseMyTrade","Index Pages","Navigation","0","0","0","4","0"
"EaseMyTrade","Content Pages","News Page","0","0","0","2","0"
"EaseMyTrade","Expert View","Confidence Score Validation","0","0","0","1","0"
"EaseMyTrade","Signal Logic","Signal Data Integrity","0","0","0","1","0"
"EaseMyTrade","Content Pages","Methodology Page","0","0","0","2","0"
"EaseMyTrade","Index Pages","Page Load","0","0","0","8","0"
"EaseMyTrade","Home Page","Completed Trades","0","0","0","1","0"
"EaseMyTrade","Expert View","Search Form","0","0","0","1","0"
"EaseMyTrade","Index Pages","Signal Logic","0","0","0","2","0"
"EaseMyTrade","Navigation & Page Load","Commodity Pages","0","0","0","4","0"
"EaseMyTrade","Signal Logic","","0","1","0","0","0"
"EaseMyTrade","Expert View","","0","1","0","0","0"
"EaseMyTrade","Expert View","Page Load","0","0","0","2","0"
"EaseMyTrade","Login Page","Page Load","0","0","0","1","0"
"EaseMyTrade","Home Page","Footer","0","0","0","2","0"
"EaseMyTrade","Navigation & Page Load","Index Pages","0","0","0","4","0"
"EaseMyTrade","Index Pages","Commodity Pages","0","0","0","4","0"
"EaseMyTrade","Login Page","Authentication","0","0","0","2","0"
"EaseMyTrade","Signal Logic","Trade Signal Geometry","0","0","0","2","0"
"EaseMyTrade","Content Pages","Contact Page","0","0","0","2","0"
"EaseMyTrade","Expert View","Universe Selector","0","0","0","3","0"
"EaseMyTrade","Login Page","Page Metadata","0","0","0","1","0"
"EaseMyTrade","Content Pages","Brand Consistency","0","0","0","1","0"
"EaseMyTrade","Expert View","Report Generation","0","0","0","6","0"
"EaseMyTrade","Expert View","Best Pick Navigation","0","0","0","1","0"
"EaseMyTrade","Home Page","Navigation","0","0","0","3","0"
"EaseMyTrade","Home Page","Page Load","0","0","0","2","0"
"EaseMyTrade","Navigation & Page Load","Page Load","0","0","0","8","0"
"EaseMyTrade","Index Pages","Support & Resistance Calculation","0","0","0","4","0"
"EaseMyTrade","Home Page","Market Ticker","0","0","0","1","0"
"EaseMyTrade","Content Pages","","0","2","0","0","0"
"EaseMyTrade","Login Page","Form Elements","0","0","0","1","0"
"EaseMyTrade","Navigation & Page Load","Logo Navigation","0","0","0","1","0"
"EaseMyTrade","Content Pages","Disclaimer Page","0","0","0","2","0"
"EaseMyTrade","Home Page","Signal Logic - Calculation","0","0","0","4","0"
"EaseMyTrade","Expert View","Initial State","0","0","0","3","0"
"EaseMyTrade","Content Pages","Telegram Status Page","0","0","0","1","0"
"EaseMyTrade","Login Page","Form Validation","0","0","0","2","0"
"EaseMyTrade","Login Page","Password Field","0","0","0","2","0"
"EaseMyTrade","Expert View","Dashboard Metrics","0","0","0","2","0"
"EaseMyTrade","Signal Logic","Session Guard Logic","0","0","0","1","0"
"EaseMyTrade","Home Page","Signal Logic","0","0","0","1","0"
"EaseMyTrade","Home Page","Market Watchlist","0","0","0","1","0"
"EaseMyTrade","Navigation & Page Load","Redirects","0","0","0","1","0"
"EaseMyTrade","Home Page","Hero Section","0","0","0","2","0"
"EaseMyTrade","Navigation & Page Load","Page Titles","0","0","0","1","0"
"EaseMyTrade","Signal Logic","Forward Record Guard","0","0","0","1","0"
"EaseMyTrade","Signal Logic","Signal State Validation","0","0","0","3","0"
"EaseMyTrade","Expert View","Example Chips","0","0","0","2","0"
"EaseMyTrade","Index Pages","Completed Trades","0","0","0","1","0"
"EaseMyTrade","Home Page","Market Drivers","0","0","0","1","0"
"EaseMyTrade","Home Page","Live Clock","0","0","0","1","0"
"EaseMyTrade","Index Pages","Commodity Price Validation","0","0","0","1","0"
"EaseMyTrade","Navigation & Page Load","","0","1","0","0","0"
"EaseMyTrade","Navigation & Page Load","Navigation Links","0","0","0","4","0"
"EaseMyTrade","Login Page","Page Content","0","0","0","1","0"
"EaseMyTrade","Expert View","AI Systems","0","0","0","1","0"
"EaseMyTrade","Home Page","","0","1","0","0","0"
"EaseMyTrade","Navigation & Page Load","Footer Navigation","0","0","0","1","0"
"EaseMyTrade","Home Page","Trading Zones","0","0","0","1","0"
"EaseMyTrade","Expert View","Report Sections","0","0","0","1","0"
"EaseMyTrade","Content Pages","Telegram Page","0","0","0","1","0"
"EaseMyTrade","Index Pages","Trade Signal Geometry","0","0","0","1","0"
"EaseMyTrade","Login Page","Brute Force Protection","0","0","0","1","0"
"EaseMyTrade","Login Page","","0","1","0","0","0"
"EaseMyTrade","Expert View","Page Metadata","0","0","0","1","0"
"EaseMyTrade","Expert View","Best Pick","0","0","0","1","0"
"EaseMyTrade","Signal Logic","Confidence Score Validation","0","0","0","1","0"
"EaseMyTrade","Expert View","Search Validation","0","0","0","1","0"
"EaseMyTrade","Expert View","Recommendation Validation","0","0","0","1","0"
"EaseMyTrade","Signal Logic","Support & Resistance Calculation","0","0","0","1","0"
"EaseMyTrade","Login Page","Navigation","0","0","0","1","0"
"EaseMyTrade","Home Page","Chart","0","0","0","1","0"
"EaseMyTrade","Navigation & Page Load","Home Page CTAs","0","0","0","1","0"
"EaseMyTrade","Index Pages","","0","1","0","0","0"
"EaseMyTrade","Content Pages","Footer Consistency","0","0","0","1","0"
